PaintingID,Title,HeightInches,WidthInches,ImageBaseName
571,"Boo",12,9,"booslap"
572,"Flow",16,25,"gowiththeflow"
573,"Big Dig Hassle",15,32,"bigdighassle"
574,"Big Dig Bolt",20,16,"bigdigbolt"
575,"Cool Jazz",33,33,"cooljazz"
576,"Starry Sky Jazz",36,24,"starryskyjazz"
577,"Big Dig Breakdown",20,16,"bigdigbreakdown"
578,"Vanilla Big Dig",20,16,"vanillabigdig"
579,"Olive Enterprises",16,20,"oliveenterprises"
580,"Fish Wish",24,16,"fishwish"
581,"Crane Drain",14,14,"cranedrain"
582,"Big Dig Little Berries",20,16,"bigdiglittleberries"
